"team_id","championships","champion_pct","country_name","composite_score"
41,975,9.75,"Spain",0.9098
17,646,6.46,"England",0.7905
2,621,6.21,"Argentina",0.7837
18,601,6.01,"France",0.7653
19,505,5.05,"Germany",0.6991
34,432,4.32,"Portugal",0.6677
29,413,4.13,"Netherlands",0.6502
31,368,3.68,"Norway",0.6307
7,340,3.4,"Brazil",0.5863
38,331,3.31,"Senegal",0.6077
25,325,3.25,"Japan",0.5937
43,318,3.18,"Switzerland",0.5377
28,308,3.08,"Morocco",0.5707
5,303,3.03,"Belgium",0.5736
12,290,2.9,"Croatia",0.5652
27,281,2.81,"Mexico",0.5519
45,262,2.62,"Türkiye",0.5607
10,257,2.57,"Colombia",0.5583
46,231,2.31,"Uruguay",0.4959
15,202,2.02,"Ecuador",0.503
4,183,1.83,"Austria",0.5203
9,178,1.78,"Canada",0.451
1,177,1.77,"Algeria",0.47
3,165,1.65,"Australia",0.4431
47,156,1.56,"USA",0.4425
14,135,1.35,"Czechia",0.4152
22,134,1.34,"Iran",0.426
40,110,1.1,"South Korea",0.3995
37,105,1.05,"Scotland",0.4026
33,89,0.89,"Paraguay",0.3976
24,83,0.83,"Ivory Coast",0.3726
26,77,0.77,"Jordan",0.3752
16,76,0.76,"Egypt",0.3504
48,76,0.76,"Uzbekistan",0.3932
42,57,0.57,"Sweden",0.3572
11,48,0.48,"Congo DR",0.3449
32,48,0.48,"Panama",0.3425
30,23,0.23,"New Zealand",0.2548
44,23,0.23,"Tunisia",0.2924
23,12,0.12,"Iraq",0.2487
36,12,0.12,"Saudi Arabia",0.2568
6,8,0.08,"Bosnia and Herzegovina",0.1813
20,5,0.05,"Ghana",0.1951
39,5,0.05,"South Africa",0.2223
8,3,0.03,"Cabo Verde",0.1699
21,3,0.03,"Haiti",0.2139
