"confederation","round","avg_probability"
"AFC","Champion",1.14
"AFC","Final",2.27
"AFC","SF",5.25
"AFC","QF",11.93
"AFC","R16",26.61
"AFC","R32",58.35
"CAF","Champion",1.06
"CAF","Final",2.32
"CAF","SF",5.16
"CAF","QF",11.45
"CAF","R16",25.38
"CAF","R32",57.16
"CONCACAF","Champion",1.33
"CONCACAF","Final",2.58
"CONCACAF","SF",5.59
"CONCACAF","QF",12.47
"CONCACAF","R16",27.51
"CONCACAF","R32",59.01
"CONMEBOL","Champion",2.9
"CONMEBOL","Final",5.8
"CONMEBOL","SF",11.29
"CONMEBOL","QF",21.67
"CONMEBOL","R16",41.01
"CONMEBOL","R32",77.16
"OFC","Champion",0.23
"OFC","Final",0.81
"OFC","SF",2.13
"OFC","QF",6.14
"OFC","R16",17.64
"OFC","R32",48.49
"UEFA","Champion",3.5
"UEFA","Final",6.58
"UEFA","SF",12.36
"UEFA","QF",22.95
"UEFA","R16",42.37
"UEFA","R32",77.36
