"team_id","country_name","expected_round"
41,"Spain",5.488
17,"England",4.665
2,"Argentina",4.515
18,"France",4.464
19,"Germany",4.252
34,"Portugal",3.82
29,"Netherlands",3.759
43,"Switzerland",3.564
31,"Norway",3.532
7,"Brazil",3.475
25,"Japan",3.461
27,"Mexico",3.453
5,"Belgium",3.437
38,"Senegal",3.434
28,"Morocco",3.343
12,"Croatia",3.334
45,"Türkiye",3.21
10,"Colombia",3.042
9,"Canada",3.019
46,"Uruguay",2.947
15,"Ecuador",2.897
4,"Austria",2.741
14,"Czechia",2.469
1,"Algeria",2.447
3,"Australia",2.446
22,"Iran",2.433
47,"USA",2.375
40,"South Korea",2.372
37,"Scotland",2.139
33,"Paraguay",2.066
24,"Ivory Coast",2.06
48,"Uzbekistan",1.847
16,"Egypt",1.833
26,"Jordan",1.703
42,"Sweden",1.636
32,"Panama",1.623
11,"Congo DR",1.512
44,"Tunisia",1.205
30,"New Zealand",1.161
36,"Saudi Arabia",1.134
6,"Bosnia and Herzegovina",0.975
39,"South Africa",0.958
23,"Iraq",0.834
21,"Haiti",0.77
20,"Ghana",0.669
8,"Cabo Verde",0.624
35,"Qatar",0.492
13,"Curaçao",0.362
