"group_label","avg_composite","max_composite","third_composite","top1_top3_gap"
"Group D",0.461,0.5607,0.4425,0.1182
"Group A",0.3972,0.5519,0.3995,0.1524
"Group I",0.5631,0.7653,0.6077,0.1576
"Group C",0.4434,0.5863,0.4026,0.1837
"Group G",0.4012,0.5736,0.3504,0.2232
"Group K",0.491,0.6677,0.3932,0.2745
"Group F",0.4734,0.6502,0.3572,0.293
"Group J",0.5373,0.7837,0.47,0.3137
"Group E",0.4231,0.6991,0.3726,0.3265
"Group B",0.3208,0.5377,0.1813,0.3564
"Group L",0.4733,0.7905,0.3425,0.448
"Group H",0.4581,0.9098,0.2568,0.653
