"team_id","group_label","avg_points","group_win_pct","qualification_pct","country_name","composite_score"
41,"Group H",5.88,51.79,78.85,"Spain",0.9098
43,"Group B",5.51,43.6,73.48,"Switzerland",0.5377
19,"Group E",5.46,42.72,72.41,"Germany",0.6991
17,"Group L",5.4,42.7,71.68,"England",0.7905
9,"Group B",5.2,37.15,69.34,"Canada",0.451
2,"Group J",5.02,38.14,65.39,"Argentina",0.7837
29,"Group F",4.94,35.23,64.61,"Netherlands",0.6502
34,"Group K",4.92,36.46,64.55,"Portugal",0.6677
5,"Group G",4.97,36.96,64.35,"Belgium",0.5736
27,"Group A",4.92,35.51,63.64,"Mexico",0.5519
18,"Group I",4.95,35.47,63.47,"France",0.7653
7,"Group C",4.85,34.15,62.63,"Brazil",0.5863
12,"Group L",4.81,31.63,61.93,"Croatia",0.5652
28,"Group C",4.83,33.14,61.89,"Morocco",0.5707
46,"Group H",4.69,28.36,61.5,"Uruguay",0.4959
25,"Group F",4.76,33.07,60.96,"Japan",0.5937
15,"Group E",4.77,30.94,60.95,"Ecuador",0.503
45,"Group D",4.58,31.54,57.82,"Türkiye",0.5607
31,"Group I",4.51,28.36,56.21,"Norway",0.6307
10,"Group K",4.48,28.75,55.93,"Colombia",0.5583
38,"Group I",4.44,27.28,55.44,"Senegal",0.6077
22,"Group G",4.38,28,54.63,"Iran",0.426
14,"Group A",4.35,26.83,53.63,"Czechia",0.4152
40,"Group A",4.23,25.53,52,"South Korea",0.3995
24,"Group E",4.22,22.16,50.36,"Ivory Coast",0.3726
4,"Group J",4.15,24.53,49.94,"Austria",0.5203
3,"Group D",4.04,23.07,48.53,"Australia",0.4431
47,"Group D",4.03,23.6,48.52,"USA",0.4425
37,"Group C",4.07,22.94,48.51,"Scotland",0.4026
16,"Group G",3.93,21.23,46.66,"Egypt",0.3504
1,"Group J",3.89,20.61,46.19,"Algeria",0.47
33,"Group D",3.84,21.79,45.13,"Paraguay",0.3976
48,"Group K",3.7,18.77,42.01,"Uzbekistan",0.3932
32,"Group L",3.7,17.52,41.93,"Panama",0.3425
42,"Group F",3.62,18.1,40.96,"Sweden",0.3572
26,"Group J",3.43,16.72,38.48,"Jordan",0.3752
11,"Group K",3.39,16.02,37.51,"Congo DR",0.3449
36,"Group H",3.34,12.75,35.76,"Saudi Arabia",0.2568
6,"Group B",3.36,12.71,35.29,"Bosnia and Herzegovina",0.1813
30,"Group G",3.22,13.81,34.36,"New Zealand",0.2548
44,"Group F",3.18,13.6,33.47,"Tunisia",0.2924
39,"Group A",3.01,12.13,30.73,"South Africa",0.2223
21,"Group C",2.74,9.77,26.97,"Haiti",0.2139
23,"Group I",2.61,8.89,24.88,"Iraq",0.2487
20,"Group L",2.58,8.15,24.46,"Ghana",0.1951
8,"Group H",2.59,7.1,23.89,"Cabo Verde",0.1699
35,"Group B",2.45,6.54,21.89,"Qatar",0.1133
13,"Group E",2.04,4.18,16.28,"Curaçao",0.1176
