league,club
Premier League,Arsenal
Premier League,Manchester City
Premier League,Manchester United
Premier League,Aston Villa
Premier League,Liverpool
Premier League,Bournemouth
Premier League,Sunderland
Premier League,Brighton & Hove Albion
Premier League,Brentford
Premier League,Chelsea
Premier League,Fulham
Premier League,Newcastle United
Premier League,Everton
Premier League,Leeds United
Premier League,Crystal Palace
Premier League,Nottingham Forest
Premier League,Tottenham Hotspur
Premier League,West Ham United
Premier League,Burnley
Premier League,Wolverhampton Wanderers
LaLiga,Barcelona
LaLiga,Real Madrid
LaLiga,Villarreal
LaLiga,Atlético Madrid
LaLiga,Real Betis
LaLiga,Celta Vigo
LaLiga,Getafe
LaLiga,Rayo Vallecano
LaLiga,Valencia
LaLiga,Real Sociedad
LaLiga,Espanyol
LaLiga,Athletic Club
LaLiga,Sevilla
LaLiga,Alavés
LaLiga,Elche
LaLiga,Levante
LaLiga,Osasuna
LaLiga,Mallorca
LaLiga,Girona
LaLiga,Real Oviedo
Ligue 1,Paris Saint-Germain
Ligue 1,Lens
Ligue 1,Lille
Ligue 1,Lyon
Ligue 1,Marseille
Ligue 1,Rennes
Ligue 1,Monaco
Ligue 1,Strasbourg
Ligue 1,Toulouse
Ligue 1,Lorient
Ligue 1,Paris FC
Ligue 1,Brest
Ligue 1,Angers
Ligue 1,Le Havre
Ligue 1,Auxerre
Ligue 1,Nice
Ligue 1,Nantes
Ligue 1,Metz
Bundesliga,Bayern Munich
Bundesliga,Borussia Dortmund
Bundesliga,RB Leipzig
Bundesliga,VfB Stuttgart
Bundesliga,TSG Hoffenheim
Bundesliga,Bayer Leverkusen
Bundesliga,Freiburg
Bundesliga,Eintracht Frankfurt
Bundesliga,Augsburg
Bundesliga,Mainz
Bundesliga,Union Berlin
Bundesliga,Borussia Mönchengladbach
Bundesliga,Hamburg SV
Bundesliga,Köln
Bundesliga,Werder Bremen
Bundesliga,Wolfsburg
Bundesliga,Heidenheim
Bundesliga,St Pauli
Serie A,Inter Milan
Serie A,Napoli
Serie A,AS Roma
Serie A,Como
Serie A,AC Milan
Serie A,Juventus
Serie A,Atalanta
Serie A,Bologna
Serie A,Lazio
Serie A,Udinese
Serie A,Sassuolo
Serie A,Torino
Serie A,Parma
Serie A,Cagliari
Serie A,Fiorentina
Serie A,Genoa
Serie A,Lecce
Serie A,Cremonese
Serie A,Verona
Serie A,Pisa
